,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inch as ees (last 3 hrs)
506,Paracatu,BR,2020-05-09 12:12:28,-17.22,-46.87,64.85,87,72,8.88,broken clouds,0,0
507,Mmabatho,ZA,2020-05-09 12:14:03,-25.85,25.63,80.6,18,20,2.24,few clouds,0,0
508,Nowy Tomysl,PL,2020-05-09 12:14:03,52.32,16.13,69.8,28,52,5.82,broken clouds,0,0
509,Havre,FR,2020-05-09 12:14:03,49.58,0.33,68.0,59,86,2.24,overcast clouds,0,0
510,Emba,KZ,2020-05-09 12:14:03,48.83,58.14,71.58,43,27,10.74,scattered clouds,0,0
511,Quimper,FR,2020-05-09 12:12:25,48.0,-4.1,68.0,77,90,6.93,overcast clouds,0,0
512,Saint Paul,US,2020-05-09 12:10:38,44.94,-93.09,37.0,69,40,2.17,scattered clouds,0,0
513,Kyzyl-Suu,KG,2020-05-09 12:14:03,42.34,78.0,59.14,50,97,4.18,light rain,0,0
514,Malanje,AO,2020-05-09 12:14:04,-9.54,16.34,80.6,78,40,8.05,scattered clouds,0,0
515,Riachao Das Neves,BR,2020-05-09 12:14:04,-11.75,-44.91,71.64,83,86,4.43,overcast clouds,0,0
516,La Paz,BO,2020-05-09 12:11:45,-16.5,-68.15,35.6,51,65,3.36,broken clouds,0,0
517,Jiuquan,CN,2020-05-09 12:14:04,39.74,98.52,66.29,21,47,7.99,scattered clouds,0,0
518,Kalemie,CD,2020-05-09 12:14:04,-5.95,29.19,78.55,69,11,11.39,few clouds,0,0
519,Hobyo,SO,2020-05-09 12:06:37,5.35,48.53,87.87,62,5,11.48,clear sky,0,0
520,Warrington,GB,2020-05-09 12:14:05,53.39,-2.58,75.0,46,60,4.7,broken clouds,0,0
521,Talgar,KZ,2020-05-09 12:14:05,43.3,77.24,75.2,38,75,4.47,broken clouds,0,0
522,Ranong,TH,2020-05-09 12:14:05,9.97,98.63,91.4,70,40,1.12,scattered clouds,0,0
523,Pierre,US,2020-05-09 12:11:00,44.37,-100.35,46.99,70,40,10.29,scattered clouds,0,0
524,Chekhov,RU,2020-05-09 12:14:05,55.14,37.47,57.0,58,75,13.42,broken clouds,0,0
525,College,US,2020-05-09 12:14:05,64.86,-147.8,50.0,52,75,6.93,broken clouds,0,0
526,Broken Hill,AU,2020-05-09 12:14:05,-31.95,141.43,51.8,43,0,11.41,clear sky,0,0
527,Neyvo-Shaytanskiy,RU,2020-05-09 12:14:05,57.73,61.25,78.64,23,0,8.3,clear sky,0,0
528,Basoko,CD,2020-05-09 12:14:06,1.24,23.62,82.51,66,79,6.13,light rain,0,0
529,Shagonar,RU,2020-05-09 12:14:06,51.53,92.8,53.47,40,2,3.04,clear sky,0,0
530,Ledyard,US,2020-05-09 12:14:06,41.44,-72.01,39.2,51,1,19.46,clear sky,0,0
531,Douglas,US,2020-05-09 12:13:01,41.3,-96.17,41.0,93,1,7.14,mist,0,0
532,Aykhal,RU,2020-05-09 12:09:33,66.0,111.5,35.6,55,99,8.95,light snow,0,0
533,Sao Jose Da Laje,BR,2020-05-09 12:14:06,-9.01,-36.06,84.2,70,40,4.7,scattered clouds,0,0
534,Lavrentiya,RU,2020-05-09 12:06:24,65.58,-171.0,29.68,96,20,8.37,few clouds,0,0
535,Bilibino,RU,2020-05-09 12:14:07,68.05,166.44,26.98,92,9,8.19,clear sky,0,0
536,Alizai,PK,2020-05-09 12:14:07,33.54,70.35,85.32,30,0,7.27,clear sky,0,0
537,Salekhard,RU,2020-05-09 12:14:07,66.53,66.6,40.17,83,48,5.66,scattered clouds,0,0
538,Anito,PH,2020-05-09 12:14:07,12.45,125.29,80.53,81,29,6.06,scattered clouds,0,0
539,Michigan City,US,2020-05-09 12:13:21,41.71,-86.89,35.01,71,1,6.93,clear sky,0,0
540,Orange,US,2020-05-09 12:13:08,33.7,-117.77,64.0,91,100,2.46,overcast clouds,0,0
541,Timmins,CA,2020-05-09 12:14:07,48.47,-81.33,23.0,62,75,11.41,broken clouds,0,0
542,Paita,PE,2020-05-09 12:06:39,-5.09,-81.11,70.41,85,82,10.0,broken clouds,0,0
543,Hualmay,PE,2020-05-09 12:14:08,-11.1,-77.61,66.96,85,78,6.71,broken clouds,0,0
544,Vao,NC,2020-05-09 12:06:34,-22.67,167.48,73.2,79,16,17.94,light rain,0,0
545,Lulea,SE,2020-05-09 12:14:08,65.58,22.15,46.4,33,34,9.17,scattered clouds,0,0
546,Bichena,ET,2020-05-09 12:14:08,10.45,38.2,76.53,30,91,7.07,overcast clouds,0,0
547,Barro,BR,2020-05-09 12:14:08,-6.72,-38.87,77.86,69,6,6.4,clear sky,0,0
548,Havre-Saint-Pierre,CA,2020-05-09 12:14:09,50.23,-63.6,37.4,86,90,10.29,overcast clouds,0,0
549,Towada,JP,2020-05-09 12:14:09,40.61,141.21,64.4,55,75,8.05,light intensity shower rain,0,0
550,Alvaraes,BR,2020-05-09 12:14:09,-3.22,-64.8,73.67,97,100,1.36,light rain,0,0
551,Abay,KZ,2020-05-09 12:14:09,49.63,72.85,80.6,18,94,13.42,overcast clouds,0,0
552,Usinsk,RU,2020-05-09 12:14:09,65.99,57.53,52.56,44,2,8.79,clear sky,0,0
553,Srednekolymsk,RU,2020-05-09 12:14:09,67.45,153.68,29.21,98,78,8.52,broken clouds,0,0
554,Mount Gambier,AU,2020-05-09 12:07:07,-37.83,140.77,44.6,87,40,12.75,scattered clouds,0,0
555,Guaratinga,BR,2020-05-09 12:14:10,-16.57,-39.57,69.8,88,75,6.93,broken clouds,0,0
